time,"Average speed (mph)","Calculated boost (psi)","Calculated engine load value (%)","Calculated instant fuel consumption (MPG)","Calculated instant fuel rate (gal./h)","Distance travelled (miles)","Distance travelled (Today) (miles)","Distance travelled (total) (miles)","Distance travelled (Week) (miles)","Engine coolant temperature (℉)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel used (gallon)","Fuel used (Today) (gallon)","Fuel used (total) (gallon)","Fuel used (Week) (gallon)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℉)","Intake manifold absolute pressure (psi)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","OBD Module Voltage (V)","Short term fuel % trim - Bank 1 (%)","Short term fuel % trim - Bank 2 (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (mph)",
13:15:11.964,,,1.1764705882352942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:12.089,,,,,,,,,,-32.8,,,,,,,,,,,,,,,,,,,,,,
13:15:12.190,,,,,,,,,,,,,,,,,,,,,,,,,,,-96.09375,,,,,
13:15:12.296,,,,,,,,,,,,,,,,,,,,,,,,-95.3125,,,,,,,,
13:15:12.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,-94.53125,,,,
13:15:12.515,,,,,,,,,,,,,,,,,,,,,,,,,-93.75,,,,,,,
13:15:12.619,,-12.61828320662814,,,,,,,,,,,,,,,,,,,,,1.3053396420630001,,,,,,,,,
13:15:12.736,,,,,0.06357120214925857,,,,,,715,0.7,,,,,,,,,0.9414437390575091,,,,,,,,,,,
13:15:12.849,,,,117.29316470100743,,,,,,,,,,,,,,,,,,,,,,,,,,,7.456454306848007,
13:15:12.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.5,,,
13:15:13.070,,,,,,,,,,,,,,,,,,,,,,-14.800000000000004,,,,,,,,,,
13:15:13.676,,,42.745098039215684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:13.846,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,
13:15:13.997,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:14.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,,,,
13:15:14.299,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:14.450,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:14.599,,,,,0.42972476270813836,,,,,,721,0.7,0.00022241194576956436,0.00045490418400000003,0.006184002348000001,0.006184002348000001,0.0008503401769576639,0.00173922,0.023643090000000002,0.023643090000000002,6.363914377766236,,,,,,,,,,,
13:15:14.764,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,
13:15:14.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,
13:15:15.093,,,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,
13:15:15.146,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,
13:15:15.662,,,42.745098039215684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:15.835,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,
13:15:16.016,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,
13:15:16.185,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:16.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,,,,
13:15:16.491,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:16.641,,-7.10684916235378,,,,,,,,,,,,,,,,,,,,,6.816773686329,,,,,,,,,
13:15:16.789,,,,,0.33215900410209986,,,,,,722,0.7,0.00042441297480298176,0.000656995764,0.006386093928,0.006386093928,0.001622643976466134,0.0025118700000000002,0.024415740000000002,0.024415740000000002,4.919035730192597,,,,,,,,,,,
13:15:16.973,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,
13:15:17.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,,,
13:15:17.297,,,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,
13:15:17.350,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,
13:15:17.812,,,42.745098039215684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:17.992,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,
13:15:18.155,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:18.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,,,,
13:15:18.655,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
13:15:18.901,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:19.151,,,,,0.32329072869346825,,,,,,718,0.7,0.000636521960188838,0.0008691258800000001,0.006598224044000001,0.006598224044000001,0.002433593188493581,0.0033229,0.025226770000000003,0.025226770000000003,4.787702955643338,,,,,,,,,,,
13:15:19.325,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,
13:15:19.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,
13:15:19.640,,,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,
13:15:19.717,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,
13:15:20.295,,,42.745098039215684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:20.487,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,
13:15:20.670,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,
13:15:20.915,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:21.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,
13:15:21.314,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:21.497,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:21.694,,,,,0.32599232252656146,,,,,,724,0.7,0.0008668347126205497,0.001099483864,0.0068285820280000005,0.0068285820280000005,0.0033141402561465833,0.00420362,0.026107490000000004,0.026107490000000004,4.827711615439803,,,,,,,,,,,
13:15:21.898,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-0.037563721029562465,0,
13:15:22.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,,,
13:15:22.304,,,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,
13:15:22.357,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,
13:15:22.972,,,42.35294117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:23.131,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,
13:15:23.282,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:23.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,,,,
13:15:23.730,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:23.976,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:24.183,,,,,0.3273431194431079,,,,,,727,0.7,0.0010931787055861264,0.001325879268,0.0070549774320000005,0.0070549774320000005,0.004179513698052737,0.00506919,0.026973060000000004,0.026973060000000004,4.847715945338033,,,,,,,,,,,
13:15:24.371,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,
13:15:24.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,,,
13:15:24.764,,,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,
13:15:24.908,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,
13:15:25.586,,,42.745098039215684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:25.808,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,
13:15:26.067,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,
13:15:26.307,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:26.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,
13:15:26.733,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:26.943,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:27.197,,,,,0.32824365072080564,,,,,,729,0.7,0.0013679706236744491,0.0016006181480000001,0.0073297163120000005,0.0073297163120000005,0.00523011647680751,0.00611959,0.028023460000000004,0.028023460000000004,4.861052165270188,,,,,,,,,,,
13:15:27.415,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,
13:15:27.610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,
13:15:27.823,,,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,
13:15:27.965,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,
13:15:28.583,,,41.96078431372549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:28.829,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,
13:15:29.003,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:29.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,,,,
13:15:29.380,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:29.613,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:29.877,,,,,0.32329072869346825,,,,,,718,0.7,0.001608615272787068,0.0018412788400000001,0.007570377004000001,0.007570377004000001,0.006150165140571062,0.007039699999999999,0.028943570000000002,0.028943570000000002,4.787702955643338,,,,,,,,,,,
13:15:30.149,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,
13:15:30.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,
13:15:30.554,,,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,
13:15:30.710,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,
13:15:31.304,,,41.568627450980394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:31.458,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,
13:15:31.620,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,
13:15:31.829,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:32.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,
13:15:32.183,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
13:15:32.426,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:32.652,,,,,0.32239019741577074,,,,,,716,0.7,0.001857154236776655,0.002089864692,0.007818962856,0.007818962856,0.007100395875204116,0.00799011,0.02989398,0.02989398,4.774366735711187,,,,,,,,,,,
13:15:32.819,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,
13:15:33.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,
13:15:33.252,,,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,
13:15:33.376,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,
13:15:33.984,,,42.745098039215684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:34.241,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,
13:15:34.481,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:34.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,
13:15:34.843,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:35.010,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:35.235,,,,,0.32239019741577074,,,,,,716,0.7,0.002088445158399727,0.002321279364,0.008050377528,0.008050377528,0.007984682744513893,0.00887487,0.030778740000000002,0.030778740000000002,4.774366735711187,,,,,,,,,,,
13:15:35.405,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,
13:15:35.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,
13:15:35.817,,,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,
13:15:35.964,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,
13:15:36.616,,,41.96078431372549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:36.848,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,
13:15:37.046,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,
13:15:37.250,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:37.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,,,,
13:15:37.608,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:37.767,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:38.039,,,,,0.32419125997116616,,,,,,720,0.7,0.002340966344920513,0.002573827796,0.00830292596,0.00830292596,0.00895013857778159,0.00984043,0.0317443,0.0317443,4.801039175575497,,,,,,,,,,,
13:15:38.305,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,
13:15:38.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,,,
13:15:38.742,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
13:15:38.837,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,
13:15:39.466,,,42.35294117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:39.630,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,
13:15:39.847,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:40.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,
13:15:40.310,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:40.479,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:40.711,,,,,0.32499889780455454,,,,,,724,0.7,0.002582157757247443,0.002815016832,0.008544114996000001,0.008544114996000001,0.009872277663113114,0.010762560000000001,0.03266643,0.03266643,4.812999710471222,,,,,,,,,,,
13:15:40.881,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,
13:15:41.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,,,
13:15:41.249,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
13:15:41.383,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,
13:15:42.021,,,42.745098039215684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:42.237,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,
13:15:42.443,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,
13:15:42.610,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
13:15:42.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,,,,
13:15:42.995,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
13:15:43.157,,-7.251886900361,,,,,,,,,,,,,,,,,,,,,6.6717359483220005,,,,,,,,,
13:15:43.343,,,,,0.32499889780455454,,,,,,724,0.7,0.002819832709265459,0.003052771632,0.008781869796000001,0.008781869796000001,0.010780972382985757,0.011671560000000001,0.03357543,0.03357543,4.812999710471222,,,,,,,,,,,
13:15:43.536,0,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,
13:15:43.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,,,
13:15:43.934,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
13:15:44.087,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,
