Time,Amb pressure (PSI),Accel Ped. Pos. (%),Boost (PSI),Coolant (*F),Ethanol Content (Active) (%),Fuel Interpolation (FF) (%),Fuel low pressure sensor (PSI),Fuel mode (-),Fuel Scalar Interpolation (FF) (%),Gear (-),IAT (*F),Lambda bank 1 (AFR),Lambda bank 2 (AFR),MAF (g/s),Oil temp (*F),Rail pressure (PSI),RPM (RPM),Speed (mph),STFT 1 (%),STFT 2 (%),Timing Cyl. 1 (*CRK),Timing Cyl. 2 (*CRK),Timing Cyl. 3 (*CRK),Timing Cyl. 4 (*CRK),Timing Cyl. 5 (*CRK),Timing Cyl. 6 (*CRK),Transmission temp (*F),WGDC Bank 1 (%),WGDC Bank 2 (%),WGDC Base Value (%),MHD version 3.20 IJE0S Unknown
4401.909,14.3,0,-8.1,223,92,93.33,72.7,2,52.55,2,99,14.76,14.57,6.68,219,720.8,863,5,5.2,4.7,-3,-3,-3,-3,-3,-3,201,54.9,54.9,34.5,0
4401.986,14.3,0,-8.2,223,92,93.33,72.3,2,52.55,2,99,14.71,14.46,6.09,219,734.6,829,5,4.8,4.2,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,201,54.7,54.7,34.6,0
4402.070,14.3,0,-8.2,223,92,93.33,71.4,2,52.55,2,99,14.64,14.34,5.83,219,759.4,802,5,4.4,3.8,-1.9,-1.5,-1.9,-1.5,-1.9,-1.5,201,55.9,55.9,34.7,0
4402.188,14.3,0,-8.2,223,92,93.33,71.1,2,52.55,2,99,14.58,14.21,5.68,219,752.1,785,5,4.2,3.6,-2.2,-1.9,-2.2,-1.9,-2.2,-1.9,201,57,57,34.8,0
4402.265,14.3,0,-8.2,223,92,93.33,70.4,2,52.55,2,99,14.47,14.01,5.48,219,753.4,763,5,3.6,2.7,-2.2,-1.9,-2.2,-1.9,-2.2,-1.9,201,58.2,58.2,34.9,0
4402.345,14.3,0,-8.3,223,92,93.33,69.7,2,52.55,2,99,14.43,13.95,5.36,219,751.7,753,5,3.5,2.4,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,201,58.6,58.6,34.9,0
4402.428,14.3,0,-8.3,223,92,93.33,71.1,2,52.55,2,99,14.4,13.98,5.23,219,755.4,741,5,3.6,2.5,-3,-2.6,-3,-2.6,-3,-2.6,201,59,59,35,0
4402.510,14.3,0,-8.3,223,92,93.33,74.8,2,52.55,2,99,14.35,14.07,5.09,219,752.7,725,5,3.4,2.7,-2.2,-1.9,-2.2,-1.9,-2.2,-1.9,201,60.5,60.5,35,0
4402.592,14.3,0,-8.3,223,92,93.33,74.6,2,52.55,2,99,14.34,14.18,5.05,219,751.3,722,6,3.6,3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,201,59.8,59.8,35,0
4402.670,14.3,0,-8.4,223,92,93.33,73.9,2,52.55,2,99,14.34,14.31,5.03,219,759,724,6,3.5,3.5,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,201,59.8,59.8,35,0
4402.749,14.3,0,-8.4,223,92,93.33,73.2,2,52.55,2,99,14.35,14.44,4.99,219,754.4,721,6,3.6,3.8,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,201,60.5,60.5,35,0
4402.829,14.3,0,-8.4,223,92,93.33,72.9,2,52.55,2,99,14.4,14.53,4.96,219,753.7,717,6,3.8,3.8,-1.5,-1.1,-1.5,-1.1,-1.5,-1.1,201,60.5,60.5,35,0
4402.945,14.3,0,-8.4,223,92,93.33,73.4,2,52.55,2,99,14.41,14.63,4.99,219,758.5,719,6,3.6,3.9,-1.9,-1.5,-1.9,-1.5,-1.9,-1.5,201,60.2,60.2,35,0
4403.030,14.3,0,-8.4,223,92,93.33,73.9,2,52.55,2,99,14.44,14.8,4.91,219,755.5,711,6,3.7,4.2,0,0.4,0,0.4,0,0.4,201,61.3,61.3,35,0
4403.109,14.3,0,-8.4,223,92,93.33,73.6,2,52.55,2,99,14.47,14.93,4.97,219,758,718,6,3.8,4.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,201,60.2,60.2,35,0
4403.190,14.3,0,-8.4,223,92,93.33,73.4,2,52.55,2,99,14.48,14.99,4.96,219,753.4,717,6,3.8,4.7,-1.9,-1.5,-1.9,-1.5,-1.9,-1.5,201,60.2,60.2,35,0
4403.270,14.3,0,-8.4,223,92,93.33,73.6,2,52.55,2,99,14.51,15.01,4.95,219,759.8,716,5,3.8,4.8,1.1,1.5,1.1,1.5,1.1,1.5,201,61.2,61.2,35,0
4403.350,14.3,0,-8.4,223,92,93.33,73.4,2,52.55,2,99,14.53,15.04,4.93,219,760.7,714,5,3.7,4.9,1.5,1.5,1.5,1.5,1.5,1.5,201,59.7,59.7,34.9,0
4403.484,14.3,0,-8.3,223,92,93.33,73.4,2,52.55,2,99,14.54,15.07,4.95,219,762.2,712,4,3.8,5,3.4,3.4,3.4,3.4,3.4,3.4,201,59.6,59.6,34.9,0
4403.563,14.3,0,-8.1,223,92,93.33,73.2,2,52.55,2,99,14.58,15.07,5.13,219,761.4,708,4,4,4.9,3,2.2,3,2.2,3,2.2,201,59.5,59.5,34.8,0
4403.713,14.3,0,-7.9,223,92,93.33,73,2,52.55,2,99,14.6,15.04,5.3,219,755.7,701,4,3.8,4.6,2.6,1.9,2.6,1.9,2.6,1.9,201,59.1,59.1,34.8,0
4403.790,14.3,0,-7.8,223,92,93.33,73,2,52.55,2,99,14.61,15.01,5.42,219,756.8,700,4,4,4.7,2.6,1.9,2.6,1.9,2.6,1.9,201,60.2,60.2,34.7,0
