time,"# warm-ups since codes cleared ()","Altitude (GPS) (feet)","Average speed (GPS) (mph)","Engine coolant temperature (℉)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Intake air temperature (℉)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","OBD Module Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Speed (GPS) (mph)","Throttle position (%)","Timing advance (°)",Latitude,Longtitude,
20:47:06.204,,,,,,,,,,,,,,,,,,,,
20:47:16.832,,,,75.2,,,,,,,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:17.166,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:17.225,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:17.521,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:17.582,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:17.731,,,,75.2,,,,,,,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:18.049,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:18.124,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:18.435,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:18.503,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:18.659,,,,75.2,,,,,,,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:18.973,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:19.025,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:19.352,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:19.401,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:19.552,,,,75.2,,,,,,,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:19.859,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:19.941,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:20.248,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:20.300,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:20.450,,,,75.2,,,,,,,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:20.743,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:20.796,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:21.095,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:21.144,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:21.298,,,,75.2,,,,,,,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:21.602,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:21.651,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:21.964,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:22.011,,,,,,,,,,,11.8,,,,,,,33.7477547023112,-117.13113505687605,
20:47:22.175,,,,75.2,,,,,,,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:22.477,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:22.529,,,,,,,,,,,11.8,,,,,,,33.7477547023112,-117.13113505687605,
20:47:22.831,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:22.883,,,,,,,,,,,11.9,,,,,,,33.7477547023112,-117.13113505687605,
20:47:23.043,,,,75.2,,,,,,,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:23.362,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:23.421,,,,,,,,,,,11.8,,,,,,,33.7477547023112,-117.13113505687605,
20:47:23.715,,,,,,,,,,8.59375,,,,,,,,33.7477547023112,-117.13113505687605,
20:47:23.779,,,,,,,,,,,11.8,,,,,,,33.747727318969964,-117.13125198846714,
20:47:23.923,,,,75.2,,,,,,,,,,,,,,33.74772732285216,-117.13125201599415,
20:47:24.556,,,,,,,,,,7.8125,,,,,,,,33.74772854077826,-117.1312606518107,
20:47:24.617,,,,,,,,,,,10.6,,,,,,,33.74772854077826,-117.1312606518107,
20:47:25.499,,,,,,,,,,6.25,,,,,,,,33.74773089855339,-117.13127736983118,
20:47:25.550,,,,,,,,,,,12.6,,,,,,,33.74773089855339,-117.13127736983118,
20:47:25.698,,,,75.2,,,,,,,,,,,,,,33.7477566568144,-117.13146195890145,
20:47:26.013,,,,,,,,,,6.25,,,,,,,,33.74778022494388,-117.13124251570139,
20:47:26.061,,,,,,,,,,,12.9,,,,,,,33.74778022494388,-117.13124251570139,
20:47:26.377,,,,,,,,,,6.25,,,,,,,,33.7477805123318,-117.13124333753687,
20:47:26.443,,,,,,,,,,,13,,,,,,,33.747780516093464,-117.1312433395567,
20:47:26.600,,,,75.2,,,,,,,,,,,,,,33.74776312467049,-117.13120496036896,
20:47:26.916,,,,,,,,,,6.25,,,,,,,,33.747763125027106,-117.13120496114642,
20:47:26.976,,,,,,,,,,,13.1,,,,,,,33.747763125027106,-117.13120496114642,
20:47:27.292,,,,,,,,,,6.25,,,,,,,,33.74776442687019,-117.13120782824603,
20:47:27.349,,,,,,,,,,,13.2,,,,,,,33.74776442687019,-117.13120782824603,
20:47:27.498,,,,75.2,,,,,,,,,,,,,,33.74776547644951,-117.13121013978575,
20:47:27.813,,,,,,,,,,6.25,,,,,,,,33.74777514451822,-117.13123155673864,
20:47:27.862,,,,,,,,,,,13.2,,,,,,,33.74777514451822,-117.13123155673864,
20:47:28.173,,,,,,,,,,6.25,,,,,,,,33.74777615893264,-117.13123376752186,
20:47:28.221,,,,,,,,,,,13.3,,,,,,,33.74777615893264,-117.13123376752186,
20:47:28.389,,,,75.2,,,,,,,,,,,,,,33.747776229172466,-117.13123392059568,
20:47:28.701,,,,,,,,,,6.25,,,,,,,,33.74777630226499,-117.13123407989157,
20:47:28.760,,,,,,,,,,,13.4,,,,,,,33.747776335400005,-117.13123415210937,
20:47:29.064,,,,,,,,,,6.25,,,,,,,,33.74777640466981,-117.13123430306122,
20:47:29.122,,,,,,,,,,,13.4,,,,,,,33.747776437473796,-117.13123437456389,
20:47:29.285,,,,75.2,,,,,,,,,,,,,,33.747776437473526,-117.13123437456119,
20:47:29.596,,,,,,,,,,6.25,,,,,,,,33.747776437475224,-117.13123437456574,
20:47:29.647,,,,,,,,,,,13.5,,,,,,,33.747776437475224,-117.13123437456574,
20:47:29.976,,,,,,,,,,6.25,,,,,,,,33.747776437603726,-117.13123437484653,
20:47:30.035,,,,,,,,,,,13.5,,,,,,,33.747776437603726,-117.13123437484653,
20:47:30.180,,,,75.2,,,,,,,,,,,,,,33.747776437603726,-117.13123437484653,
20:47:30.480,,,,,,,,,,6.25,,,,,,,,33.747776437603726,-117.13123437484653,
20:47:30.531,,,,,,,,,,,13.6,,,,,,,33.747776437603726,-117.13123437484653,
20:47:30.839,,,,,,,,,,6.25,,,,,,,,33.74774084135524,-117.13117988910828,
20:47:30.891,,,,,,,,,,,13.6,,,,,,,33.74774084135524,-117.13117988910828,
20:47:31.051,,,,77,,,,,,,,,,,,,,33.74774084135524,-117.13117988910828,
20:47:31.352,,,,,,,,,,6.25,,,,,,,,33.74774084135524,-117.13117988910828,
20:47:31.402,,,,,,,,,,,13.7,,,,,,,33.74774084135524,-117.13117988910828,
20:47:31.726,,,,,,,,,,6.25,,,,,,,,33.74774218370207,-117.13126741209926,
20:47:31.875,,,,,,,,,,,13.7,,,,,,,33.74774218370207,-117.13126741209926,
20:47:32.038,,,,77,,,,,,,,,,,,,,33.74774218370207,-117.13126741209926,
20:47:32.344,,,,,,,,,,6.25,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:32.390,,,,,,,,,,,13.8,,,,,,,33.74749083540751,-117.13102078076184,
20:47:32.701,,,,,,,,,,6.25,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:32.752,,,,,,,,,,,13.8,,,,,,,33.74749083540751,-117.13102078076184,
20:47:32.908,,,,77,,,,,,,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:33.232,,,,,,,,,,6.25,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:33.289,,,,,,,,,,,13.8,,,,,,,33.74749083540751,-117.13102078076184,
20:47:33.598,,,,,,,,,,6.25,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:33.651,,,,,,,,,,,13.8,,,,,,,33.74749083540751,-117.13102078076184,
20:47:33.793,,,,77,,,,,,,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:34.093,,,,,,,,,,6.25,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:34.145,,,,,,,,,,,13.8,,,,,,,33.74749083540751,-117.13102078076184,
20:47:34.457,,,,,,,,,,6.25,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:34.506,,,,,,,,,,,13.9,,,,,,,33.74749083540751,-117.13102078076184,
20:47:34.653,,,,77,,,,,,,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:34.953,,,,,,,,,,6.25,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:35.040,,,,,,,,,,,13.9,,,,,,,33.74749083540751,-117.13102078076184,
20:47:35.355,,,,,,,,,,6.25,,,,,,,,33.74749083540751,-117.13102078076184,
20:47:35.408,,,,,,,,,,,14,,,,,,,33.74749083540751,-117.13102078076184,
